"","country","country_code","longitude","latitude","sex","age_group","population","cGDP","generation_level","suicide_tendency"
"275","Antigua and Barbuda","AG",-61.796428,17.060816,"male",5,2723,3850,2,"Low"
"276","Antigua and Barbuda","AG",-61.796428,17.060816,"male",6,424,3850,2,"Low"
"277","Antigua and Barbuda","AG",-61.796428,17.060816,"female",2,7668,4740,3,"Low"
"278","Antigua and Barbuda","AG",-61.796428,17.060816,"female",3,6209,4740,1,"Low"
"279","Antigua and Barbuda","AG",-61.796428,17.060816,"female",4,6101,4740,6,"Low"
"280","Antigua and Barbuda","AG",-61.796428,17.060816,"female",1,6907,4740,3,"Low"
"281","Antigua and Barbuda","AG",-61.796428,17.060816,"female",5,3764,4740,2,"Low"
"282","Antigua and Barbuda","AG",-61.796428,17.060816,"female",6,1014,4740,2,"Low"
"283","Antigua and Barbuda","AG",-61.796428,17.060816,"male",2,7563,4740,3,"Low"
"284","Antigua and Barbuda","AG",-61.796428,17.060816,"male",3,6023,4740,1,"Low"
"285","Antigua and Barbuda","AG",-61.796428,17.060816,"male",4,5947,4740,6,"Low"
"286","Antigua and Barbuda","AG",-61.796428,17.060816,"male",1,6827,4740,3,"Low"
"287","Antigua and Barbuda","AG",-61.796428,17.060816,"male",5,2771,4740,2,"Low"
"288","Antigua and Barbuda","AG",-61.796428,17.060816,"male",6,476,4740,2,"Low"
"289","Antigua and Barbuda","AG",-61.796428,17.060816,"female",2,7583,5595,3,"Low"
"290","Antigua and Barbuda","AG",-61.796428,17.060816,"female",3,6101,5595,1,"Low"
"291","Antigua and Barbuda","AG",-61.796428,17.060816,"female",4,6059,5595,6,"Low"
"292","Antigua and Barbuda","AG",-61.796428,17.060816,"female",1,6623,5595,3,"Low"
"293","Antigua and Barbuda","AG",-61.796428,17.060816,"female",5,3738,5595,2,"Low"
"294","Antigua and Barbuda","AG",-61.796428,17.060816,"female",6,1081,5595,2,"Low"
"295","Antigua and Barbuda","AG",-61.796428,17.060816,"male",2,7421,5595,3,"Low"
"296","Antigua and Barbuda","AG",-61.796428,17.060816,"male",3,5893,5595,1,"Low"
"297","Antigua and Barbuda","AG",-61.796428,17.060816,"male",4,5927,5595,6,"Low"
"298","Antigua and Barbuda","AG",-61.796428,17.060816,"male",1,6499,5595,3,"Low"
"299","Antigua and Barbuda","AG",-61.796428,17.060816,"male",5,2798,5595,2,"Low"
"300","Antigua and Barbuda","AG",-61.796428,17.060816,"male",6,538,5595,2,"Low"
"301","Antigua and Barbuda","AG",-61.796428,17.060816,"female",2,7413,6693,3,"Low"
"302","Antigua and Barbuda","AG",-61.796428,17.060816,"female",3,6041,6693,1,"Low"
"303","Antigua and Barbuda","AG",-61.796428,17.060816,"female",4,6021,6693,6,"Low"
"304","Antigua and Barbuda","AG",-61.796428,17.060816,"female",1,6527,6693,3,"Low"
"305","Antigua and Barbuda","AG",-61.796428,17.060816,"female",5,3708,6693,2,"Low"
"306","Antigua and Barbuda","AG",-61.796428,17.060816,"female",6,1141,6693,2,"Low"
"307","Antigua and Barbuda","AG",-61.796428,17.060816,"male",2,7209,6693,3,"Low"
"308","Antigua and Barbuda","AG",-61.796428,17.060816,"male",3,5826,6693,1,"Low"
"309","Antigua and Barbuda","AG",-61.796428,17.060816,"male",4,5907,6693,6,"Low"
"310","Antigua and Barbuda","AG",-61.796428,17.060816,"male",1,6355,6693,3,"Low"
"311","Antigua and Barbuda","AG",-61.796428,17.060816,"male",5,2813,6693,2,"Low"
"312","Antigua and Barbuda","AG",-61.796428,17.060816,"male",6,603,6693,2,"Low"
"313","Antigua and Barbuda","AG",-61.796428,17.060816,"female",2,7152,7407,3,"Low"
"314","Antigua and Barbuda","AG",-61.796428,17.060816,"female",3,6059,7407,1,"Low"
"315","Antigua and Barbuda","AG",-61.796428,17.060816,"female",4,5969,7407,6,"Low"
"316","Antigua and Barbuda","AG",-61.796428,17.060816,"female",1,6621,7407,3,"Low"
"317","Antigua and Barbuda","AG",-61.796428,17.060816,"female",5,3696,7407,2,"Low"
"318","Antigua and Barbuda","AG",-61.796428,17.060816,"female",6,1195,7407,2,"Low"
"319","Antigua and Barbuda","AG",-61.796428,17.060816,"male",2,6927,7407,3,"Low"
"320","Antigua and Barbuda","AG",-61.796428,17.060816,"male",3,5835,7407,1,"Low"
"321","Antigua and Barbuda","AG",-61.796428,17.060816,"male",4,5862,7407,6,"Low"
"322","Antigua and Barbuda","AG",-61.796428,17.060816,"male",1,6403,7407,3,"Low"
"323","Antigua and Barbuda","AG",-61.796428,17.060816,"male",5,2843,7407,2,"Low"
"324","Antigua and Barbuda","AG",-61.796428,17.060816,"male",6,676,7407,2,"Low"
"325","Antigua and Barbuda","AG",-61.796428,17.060816,"male",4,5799,7744,6,"High"
"326","Antigua and Barbuda","AG",-61.796428,17.060816,"female",2,6827,7744,3,"Low"
"327","Antigua and Barbuda","AG",-61.796428,17.060816,"female",3,6172,7744,1,"Low"
"328","Antigua and Barbuda","AG",-61.796428,17.060816,"female",4,5895,7744,6,"Low"
"329","Antigua and Barbuda","AG",-61.796428,17.060816,"female",1,6877,7744,3,"Low"
"330","Antigua and Barbuda","AG",-61.796428,17.060816,"female",5,3706,7744,2,"Low"
"331","Antigua and Barbuda","AG",-61.796428,17.060816,"female",6,1252,7744,2,"Low"
"332","Antigua and Barbuda","AG",-61.796428,17.060816,"male",2,6598,7744,3,"Low"
"333","Antigua and Barbuda","AG",-61.796428,17.060816,"male",3,5937,7744,1,"Low"
"334","Antigua and Barbuda","AG",-61.796428,17.060816,"male",1,6611,7744,3,"Low"
"335","Antigua and Barbuda","AG",-61.796428,17.060816,"male",5,2902,7744,2,"Low"
"336","Antigua and Barbuda","AG",-61.796428,17.060816,"male",6,758,7744,2,"Low"
"337","Antigua and Barbuda","AG",-61.796428,17.060816,"female",2,6595,7976,3,"Low"
"338","Antigua and Barbuda","AG",-61.796428,17.060816,"female",3,6396,7976,1,"Low"
"339","Antigua and Barbuda","AG",-61.796428,17.060816,"female",4,6198,7976,1,"Low"
"340","Antigua and Barbuda","AG",-61.796428,17.060816,"female",1,7089,7976,5,"Low"
"341","Antigua and Barbuda","AG",-61.796428,17.060816,"female",5,3665,7976,6,"Low"
"342","Antigua and Barbuda","AG",-61.796428,17.060816,"female",6,1293,7976,2,"Low"
"343","Antigua and Barbuda","AG",-61.796428,17.060816,"male",2,6401,7976,3,"Low"
"344","Antigua and Barbuda","AG",-61.796428,17.060816,"male",3,6156,7976,1,"Low"
"345","Antigua and Barbuda","AG",-61.796428,17.060816,"male",4,6122,7976,1,"Low"
"346","Antigua and Barbuda","AG",-61.796428,17.060816,"male",1,6818,7976,5,"Low"
"347","Antigua and Barbuda","AG",-61.796428,17.060816,"male",5,2857,7976,6,"Low"
"348","Antigua and Barbuda","AG",-61.796428,17.060816,"male",6,804,7976,2,"Low"
"349","Antigua and Barbuda","AG",-61.796428,17.060816,"female",2,6369,8087,3,"Low"
